,후기
0,주문한순간부터 넘 기다렸어요역시나 넘 예뻤구 설치도 매우 쉬웠어요배송 기다리면서 옆집에 스패너도 빌려놨었는데간이 스패너 함께 들어있어서 감동이었어요 ㅎ교체한 샤워기에 맞게 수전도 바꾸고 싶네요 ㅎ후기에조금 무겁다는 내용을 봤는데 아무래도 필터도 달리고 커버도 추가되어서 기존보단 무게가 있지만 10살아이도 힘들다는 말없이 혼자 잘 사용했어요
1,"퓨어썸 샤워기와 커버호스 구입했어요예전 스타일 집이라 욕조가있어서 좋기는한데 아이키우는 입장에서 필터 샤워기로 교체해서 깨끗한물로 씻겨야지 하다가 알게된 퓨어썸 호스, 너무 이뻐서 첫눈에 반했거든요. 그날로 구매하고 연휴지나서 바로 왔네요. 빨리 설치하고픈 마음에 애기아빠 기다리지않고 혼자서 교체했어요. 쉽고 간편히 설치했구요 너무나 이쁘고 깔끔해서 맘에쏙들어요.수압도 쎄고 분사력도 좋아서 씻은후 개운하고 필터 확인할수있게 되어있어 좋구요. 아이씻기기엔 분사가 쎈편이라 그때 살짝 약하게틀고 하지만, 그래도 어른씻기엔 와우 시원합니다.ㅋㅋ주방꺼도 바꾸고싶어요!!"
2,"바디럽 샤워기 쓴지는 2년 정도 넘었고, 기능에 비해 디자인이 조금 아쉬웠는데 플친 메시지 사진을 보고 너무 예뻐서 바로 구매했어요. 컬러 고르는데 고민이 많았지만 결국 노란색 컬러를 골랐어요. 두가지 컬러를 교차해서 사용해도 예뻤을 것 같아요. 정말 만족합니다."
3,고민 엄청하다 샀는데요 넘나이쁨 ^^ 색상도 요래저래 고민하다가 핑크 초록 조합! 꿀조합! 또 사러들어왔어요! 두번사세요 세번사세요!^^**
4,예쁘고 또 예뻐요!샤워기가 떨어지는 바람에 깨져서 재구매 했는데커버가 있으니까 떨어져도 안깨질고 같아서 안심!
5,처음에 핑크랑 레드만 샀다가 너무 마음에 들어서 또 샀어요 욕실 분위기 바꾸는 데 최고입니다 안에 필터 보이는 게 아쉬웠는데 커버를 씌워주니 필터도 안 보이고 인테리어도 되고 좋아요
6,미니언즈 샤워기랑 조합하니 찰떡이네요ㅋ아이들이 좋아해요^^
7,"실리콘 자체가 철 보다 훨씬 가볍고,깨끗해 보입니다.아이들이 너무 예뻐서 좋아하네요^^핑크 선택이 좋았습니다 ㅋㅋㅋ"
8,파스텔톤의 커버가 넘 예뻐요. 호스를 2미터 짜리를하니 욕실청소하기 편하고 좋아요. 만족합니다.
9,귀여워요 ㅠㅠ 잘산고같아요
